puzzle_id,prime,heuristic,init_seed,solved,final_min_valuation,required_valuation,lift_fraction,steps_taken,wall_time_seconds
euler_01,2,greedy,262499,False,0,12,0.0,27,0.4153258800506592
euler_01,2,greedy,1667800629,False,0,12,0.0,20,0.30379199981689453
euler_01,2,greedy,1287193998,False,0,12,0.0,25,0.365070104598999
euler_01,3,greedy,1404049709,False,0,8,0.0,20,0.27742624282836914
euler_01,3,greedy,1023443078,False,0,8,0.0,18,0.24517583847045898
euler_01,3,greedy,543497560,False,0,8,0.0,15,0.20603704452514648
euler_01,5,greedy,1923914305,False,0,5,0.0,20,0.27573490142822266
euler_01,5,greedy,1443968787,False,0,5,0.0,16,0.21527862548828125
euler_01,5,greedy,1063362156,False,0,5,0.0,15,0.19756603240966797
euler_01,7,greedy,1859939865,False,0,4,0.0,15,0.19420480728149414
euler_01,7,greedy,1379994347,False,0,4,0.0,15,0.19928717613220215
euler_01,7,greedy,999387716,False,0,4,0.0,21,0.276353120803833
euler_01,11,greedy,1697732435,False,0,4,0.0,11,0.14257097244262695
euler_01,11,greedy,1317125804,False,0,4,0.0,10,0.12835097312927246
euler_01,11,greedy,936519173,False,0,4,0.0,12,0.15712308883666992
euler_01,13,greedy,70113383,False,0,4,0.0,18,0.23182392120361328
euler_01,13,greedy,1836990400,False,0,4,0.0,15,0.19826507568359375
euler_01,13,greedy,1357044882,False,0,4,0.0,17,0.30591511726379395
euler_01,17,greedy,526003539,False,0,3,0.0,16,0.3092978000640869
euler_01,17,greedy,46058021,False,0,3,0.0,16,0.23077917098999023
euler_01,17,greedy,1812935038,False,0,3,0.0,15,0.20331406593322754
euler_01,23,greedy,818580368,False,0,3,0.0,10,0.12884092330932617
euler_01,23,greedy,437973737,False,0,3,0.0,11,0.13824105262756348
euler_01,23,greedy,2105511867,False,0,3,0.0,13,0.16348814964294434
euler_01,47,greedy,707084432,False,0,3,0.0,11,0.136854887008667
euler_01,47,greedy,227138914,False,0,3,0.0,12,0.14988303184509277
euler_01,47,greedy,1994015931,False,0,3,0.0,14,0.18150115013122559
euler_01,73,greedy,1237596019,False,0,2,0.0,10,0.15186095237731934
euler_01,73,greedy,856989388,False,0,2,0.0,10,0.13384485244750977
euler_01,73,greedy,377043870,False,0,2,0.0,13,0.16672778129577637
euler_01,97,greedy,1931420933,False,0,2,0.0,10,0.124053955078125
euler_01,97,greedy,1550814302,False,0,2,0.0,10,0.12404298782348633
euler_01,97,greedy,1070868784,False,0,2,0.0,7,0.08646106719970703
euler_01,127,greedy,251580329,False,0,2,0.0,4,0.048805952072143555
euler_01,127,greedy,2018457346,False,0,2,0.0,7,0.08857178688049316
euler_01,127,greedy,1637850715,False,0,2,0.0,4,0.04941916465759277
euler_01,257,greedy,2127734248,False,0,2,0.0,2,0.024562835693359375
euler_01,257,greedy,1747127617,False,0,2,0.0,4,0.04979205131530762
euler_01,257,greedy,1267182099,False,0,2,0.0,6,0.0744180679321289
euler_01,521,greedy,1452402124,False,0,2,0.0,3,0.037056922912597656
euler_01,521,greedy,1071795493,False,0,2,0.0,3,0.037628889083862305
euler_01,521,greedy,691188862,False,0,2,0.0,3,0.03767895698547363
euler_01,2311,greedy,83788299,False,0,1,0.0,2,0.024681806564331055
euler_01,2311,greedy,1850665316,False,0,1,0.0,3,0.037576913833618164
euler_01,2311,greedy,1370719798,False,0,1,0.0,2,0.024888038635253906
euler_02,2,greedy,489173825,False,0,12,0.0,30,0.46669626235961914
euler_02,2,greedy,108567194,False,0,12,0.0,32,0.5034356117248535
euler_02,2,greedy,1875444211,False,0,12,0.0,29,0.45701098442077637
euler_02,3,greedy,1752734859,False,0,8,0.0,28,0.4042189121246338
euler_02,3,greedy,1272789341,False,0,8,0.0,18,0.25855088233947754
euler_02,3,greedy,892182710,False,0,8,0.0,19,0.290020227432251
euler_02,5,greedy,1589421532,False,0,5,0.0,18,0.2638847827911377
euler_02,5,greedy,1208814901,False,0,5,0.0,17,0.24801397323608398
euler_02,5,greedy,828208270,False,0,5,0.0,14,0.20469927787780762
euler_02,7,greedy,785206579,False,0,4,0.0,16,0.22679495811462402
euler_02,7,greedy,404599948,False,0,4,0.0,20,0.2749619483947754
euler_02,7,greedy,2072138078,False,0,4,0.0,13,0.17858386039733887
euler_02,11,greedy,1241096735,False,0,4,0.0,14,0.19039011001586914
euler_02,11,greedy,761151217,False,0,4,0.0,15,0.2047438621520996
euler_02,11,greedy,380544586,False,0,4,0.0,19,0.2548191547393799
euler_02,13,greedy,1177122295,False,0,4,0.0,13,0.17757415771484375
euler_02,13,greedy,697176777,False,0,4,0.0,15,0.20773911476135254
euler_02,13,greedy,316570146,False,0,4,0.0,16,0.21598005294799805
euler_02,17,greedy,1533673564,False,0,3,0.0,16,0.21806693077087402
euler_02,17,greedy,1153066933,False,0,3,0.0,15,0.20145511627197266
